,is_pcba,revenue,is_bare_pcb,Days_since_order,Days_since_order,Date of registeration,date_active,Total_Purchase,last_order,Average
,sum,sum,sum,min,max,max,max,sum,max,
user_id,,,,,,,,,,
50092816-1d30-4155-adf9-238c58d29d88,1,123.75,0,267 days 13:14:12.000000000,267 days 13:14:12.000000000,6/10/2016 6:38,9/28/2016,1,10/4/2016 3:32,0 days 00:00:00.000000000
f053d7ae-0e59-4995-819f-bc7d7b974762,1,550.07,0,269 days 20:02:06.000000000,269 days 20:02:06.000000000,3/29/2016 23:50,9/30/2016,1,10/1/2016 20:44,0 days 00:00:00.000000000
5ff97fa2-0006-42e0-92c8-c362719fe060,0,17.52,1,273 days 13:49:59.000000000,273 days 13:49:59.000000000,9/28/2016 2:17,9/28/2016,1,9/28/2016 2:57,0 days 00:00:00.000000000
9df4ed51-cfb4-42f4-bd49-3e6ed02ca0da,0,6.61,1,278 days 13:50:55.000000000,278 days 13:50:55.000000000,3/1/2016 22:07,,1,9/23/2016 2:56,0 days 00:00:00.000000000
6e9050ea-1ea1-45cb-a60f-0649dae09d59,1,873.88,0,278 days 18:45:00.000000000,278 days 18:45:00.000000000,9/14/2016 20:23,9/23/2016,1,9/22/2016 22:02,0 days 00:00:00.000000000
8dd63176-bbb4-466f-87c5-8da9510fc3e3,2,3303,0,287 days 18:52:04.000000000,288 days 21:16:35.000000000,3/26/2016 14:24,9/8/2016,2,9/13/2016 21:55,0 days 13:12:15.500000000
970d7e7d-aec5-496a-92b8-ffa9d984dc02,2,200.02,0,291 days 03:02:58.000000000,314 days 12:16:35.000000000,8/17/2016 20:47,9/9/2016,2,9/10/2016 13:44,11 days 16:36:48.500000000
f8a916e7-1cf5-49c2-91b5-81c31d763964,0,9.28,1,295 days 23:51:06.000000000,295 days 23:51:06.000000000,4/9/2016 19:22,9/5/2016,1,9/5/2016 16:55,0 days 00:00:00.000000000
9c9eb9c9-8032-4b7f-9950-524cbd53f901,4,984.45,0,299 days 19:38:38.000000000,315 days 22:20:46.000000000,6/20/2016 2:56,9/16/2016,4,9/1/2016 21:08,4 days 00:40:32.000000000
b6eccc45-1621-470c-9391-d6be231b3417,0,35.08,1,302 days 22:11:14.000000000,302 days 22:11:14.000000000,5/20/2016 19:12,8/29/2016,1,8/29/2016 18:35,0 days 00:00:00.000000000
db1c5618-8be3-456a-a800-4ec86e157525,1,415.53,0,306 days 22:39:20.000000000,306 days 22:39:20.000000000,3/27/2016 1:50,8/29/2016,1,8/25/2016 18:07,0 days 00:00:00.000000000
72047957-3049-4965-8ff9-3df2e5a7b422,1,443.48,0,307 days 08:01:09.000000000,307 days 08:01:09.000000000,8/24/2016 20:17,8/25/2016,1,8/25/2016 8:45,0 days 00:00:00.000000000
d88b03b6-7a75-414e-a59f-e0c785331b77,2,1829.52,0,313 days 23:47:25.000000000,333 days 23:58:46.000000000,6/24/2016 18:01,8/4/2016,2,8/18/2016 16:59,10 days 00:05:40.500000000
